,item_id,word,embod,concrete,image,sidhu
74,474,sit,5.6,4.8,4.7,6.23
56,456,paint,5.88,4.79,6.3,NA
21,421,drink,6.12,4.76,5.7,NA
99,499,watch,4.68,4.61,5.9,NA
75,475,skate,6.12,4.56,5.9,NA
90,490,tear,5.2,4.56,5.7,NA
18,418,cut,4.88,4.55,5.1,NA
86,486,swing,5.68,4.54,5.8,NA
45,445,jump,6.4,4.52,4.8,NA
49,449,lick,6.12,4.52,5.3,5.97
78,478,smile,6.32,4.5,6.5,6.16
47,447,kiss,6.24,4.48,6.1,NA
77,477,slide,5.8,4.48,5.2,4.72
26,426,eat,6.56,4.44,4.8,6.32
1,401,bite,6.16,4.44,5.2,NA
76,476,sleep,5.76,4.44,5.5,NA
85,485,swim,6.4,4.43,5.6,NA
98,498,wash,5.24,4.35,5.1,5.74
73,473,sing,6.24,4.34,4.9,6.03
46,446,kick,6.56,4.33,5.1,6.32
19,419,dance,6.4,4.32,5.6,6.5
15,415,cook,5.88,4.32,5.4,5.47
67,467,run,6.36,4.31,4.6,NA
48,448,knock,6.04,4.24,4.9,NA
16,416,cover,4.6,4.23,NA,NA
103,503,write,5.4,4.22,4.8,5.19
62,462,push,5.84,4.21,4.1,6.19
23,423,drop,5.04,4.21,4.3,4.74
80,480,splash,5.24,4.19,5.1,4.71
28,428,feed,5.24,4.17,4.4,NA
11,411,clap,6.4,4.16,5.6,NA
81,481,stand,5.84,4.16,5,NA
43,443,hug,6.6,4.14,5.9,NA
59,459,pour,5.28,4.14,4.9,4.32
13,413,climb,5.96,4.11,5.4,NA
41,441,hit,5.84,4.11,4.4,NA
9,409,catch,5.6,4.11,4.4,NA
6,406,bump,5.44,4.1,4.9,NA
97,497,walk,6.56,4.07,5.2,NA
88,488,talk,5.88,4.07,4.7,6.1
70,470,shake,5.76,4.07,4.4,NA
89,489,taste,5.56,4.07,4,6.19
79,479,spill,4.72,4.07,4.2,4.22
92,492,throw,6.08,4.04,4.3,NA
8,408,carry,5.92,4.04,NA,5.72
27,427,fall,5.4,4.04,4.8,5.89
100,500,wipe,5.96,4,5,4.9
17,417,cry,5.84,4,5.3,NA
61,461,pull,5.92,3.97,4.1,NA
20,420,draw,5.72,3.97,5,5.32
72,472,show,4.36,3.97,4,3.61
25,425,dump,4.4,3.93,4.7,NA
94,494,touch,6.28,3.86,4.2,NA
22,422,drive,5.72,3.86,5.3,NA
93,493,tickle,6.4,3.85,NA,6.23
57,457,pick,5.08,3.82,3.8,4.47
66,466,rip,5.28,3.79,4.7,NA
24,424,dry,3.48,3.77,3.8,NA
65,465,ride,5.36,3.75,4.6,4.77
2,402,blow,5.56,3.74,4.2,NA
84,484,sweep,5.68,3.72,5,5
5,405,build,5.44,3.71,3.8,4.86
3,403,break,4.48,3.71,4.5,4.77
42,442,hold,5.88,3.68,4,NA
83,483,stop,4.16,3.68,4.5,4.61
38,438,hear,5.12,3.66,3.3,5.94
64,464,read,4.92,3.56,NA,NA
10,410,chase,5.8,3.48,4.4,5.84
102,502,work,4.92,3.48,3.9,5.23
51,451,listen,4.72,3.47,NA,4.69
7,407,buy,3.68,3.35,3.6,3.42
58,458,play,5.72,3.24,4.5,NA
55,455,open,5.16,3.21,NA,NA
69,469,see,5,3.21,3,6
40,440,hide,4.48,3.21,3.7,NA
14,414,close,4.8,3.2,3.7,3.06
35,435,go,5.12,3.15,2.2,5.13
96,496,wake,5.24,3.11,3.4,NA
12,412,clean,5.04,3.07,4.5,5.55
87,487,take,4.92,3.06,2.8,4.16
52,452,look,5.04,2.96,3.9,5.42
71,471,share,3.72,2.96,3.2,3.78
32,432,fix,5.24,2.93,3.2,NA
30,430,finish,3.72,2.89,NA,NA
34,434,give,4.44,2.83,2.8,4.06
31,431,fit,3.76,2.7,3.1,NA
95,495,wait,3.56,2.68,2.6,3.58
54,454,make,4.88,2.67,2.8,3.89
44,444,hurry,4.76,2.63,NA,4.83
29,429,find,3.84,2.63,2.5,3.25
68,468,say,5.28,2.58,2.8,5.14
39,439,help,3.92,2.56,2.8,4.1
4,404,bring,4.72,2.55,2.6,4.43
63,463,put,4.44,2.5,2.2,4.57
91,491,think,3.88,2.41,2.6,4.48
33,433,get,4.28,2.38,1.7,3.19
37,437,have,2.88,2.18,1.9,2.87
82,482,stay,4.08,2.15,2.6,4.14
60,460,pretend,3.24,2.11,NA,NA
53,453,love,3.76,2.07,4,4.68
36,436,hate,2.92,1.97,3,3.26
50,450,like,3.04,1.89,2.7,3.1
101,501,wish,3.32,1.77,3,NA